annee,code_iris,nom_iris,numero_de_voie,indice_de_repetition,type_de_voie,libelle_de_voie,code_commune,nom_commune,segment_de_client,nombre_de_logements,consommation_annuelle_totale_de_l_adresse_mwh,consommation_annuelle_moyenne_par_site_de_l_adresse_mwh,consommation_annuelle_moyenne_de_la_commune_mwh,code_epci,code_departement,code_region
2023,930700102,Secteur 2,1,,RUE,RABELAIS,93070,Saint-Ouen-sur-Seine,RESIDENTIEL,11,16.323,1.484,2.556,200054781,93,11
2023,930700111,Secteur 11,5,,RUE,RASPAIL,93070,Saint-Ouen-sur-Seine,RESIDENTIEL,13,30.483,2.345,2.556,200054781,93,11
2023,930700111,Secteur 11,4,,RUE,RASPAIL,93070,Saint-Ouen-sur-Seine,RESIDENTIEL,19,49.473,2.604,2.556,200054781,93,11
2023,930700109,Secteur 9,3,,RUE,SIMONE VEIL,93070,Saint-Ouen-sur-Seine,RESIDENTIEL,55,69.911,1.271,2.556,200054781,93,11
2023,930700109,Secteur 9,74,,BOULEVARD,VICTOR HUGO,93070,Saint-Ouen-sur-Seine,RESIDENTIEL,38,47.047,1.238,2.556,200054781,93,11
2023,930700109,Secteur 9,62,,BOULEVARD,VICTOR HUGO,93070,Saint-Ouen-sur-Seine,RESIDENTIEL,32,41.772,1.305,2.556,200054781,93,11
2023,930700109,Secteur 9,132,,BOULEVARD,VICTOR HUGO,93070,Saint-Ouen-sur-Seine,RESIDENTIEL,24,45.29,1.887,2.556,200054781,93,11
2023,505320000,Saint-Pair-sur-Mer (commune non irisée),5,,RUE,DE LA PLAGE,50532,Saint-Pair-sur-Mer,RESIDENTIEL,19,14.97,0.788,4.174,200042604,50,28
2023,505320000,Saint-Pair-sur-Mer (commune non irisée),120,,RUE,DES GUIFETTES,50532,Saint-Pair-sur-Mer,RESIDENTIEL,18,25.004,1.389,4.174,200042604,50,28
2023,505320000,Saint-Pair-sur-Mer (commune non irisée),56,,RUE,JACQUES YVES COUSTEAU,50532,Saint-Pair-sur-Mer,RESIDENTIEL,22,25.981,1.181,4.174,200042604,50,28
2023,173800000,Saint-Palais-sur-Mer (commune non irisée),23,,PLACE,DE L OCEAN,17380,Saint-Palais-sur-Mer,RESIDENTIEL,19,21.449,1.129,3.796,241700640,17,75
2023,173800000,Saint-Palais-sur-Mer (commune non irisée),18,,RUE,DE LA CORVETTE,17380,Saint-Palais-sur-Mer,RESIDENTIEL,37,45.235,1.223,3.796,241700640,17,75
2023,173800000,Saint-Palais-sur-Mer (commune non irisée),89,,AVENUE,DE LA GRANDE COTE,17380,Saint-Palais-sur-Mer,RESIDENTIEL,17,19.829,1.166,3.796,241700640,17,75
2023,173800000,Saint-Palais-sur-Mer (commune non irisée),70,,CORNICHE,DE NAUZAN,17380,Saint-Palais-sur-Mer,RESIDENTIEL,16,25.766,1.61,3.796,241700640,17,75
2023,173800000,Saint-Palais-sur-Mer (commune non irisée),14,,RUE,DES VERDIERS,17380,Saint-Palais-sur-Mer,RESIDENTIEL,24,31.425,1.309,3.796,241700640,17,75
2023,173800000,Saint-Palais-sur-Mer (commune non irisée),9,,RUE,DU BOIS DU ROY,17380,Saint-Palais-sur-Mer,RESIDENTIEL,31,36.113,1.165,3.796,241700640,17,75
2023,192290000,Saint-Pantaléon-de-Larche (commune non irisée),110,,BOULEVARD,ORIMONT DE FELETZ,19229,Saint-Pantaléon-de-Larche,RESIDENTIEL,129,384.89,2.984,4.978,200043172,19,75
2023,103570000,Saint-Parres-aux-Tertres (commune non irisée),3,,RUE,HENRI BERTHELOT,10357,Saint-Parres-aux-Tertres,RESIDENTIEL,10,12.193,1.219,5.117,200069250,10,44
2023,723080000,Saint-Paterne - Le Chevain (commune non irisée),11,,RUE,DU BOURG L ABBE,72308,Saint-Paterne - Le Chevain,RESIDENTIEL,31,30.445,0.982,5.507,246100663,72,52
2023,774300000,Saint-Pathus (commune non irisée),24,,RUE,DE LA PLANCHETTE,77430,Saint-Pathus,RESIDENTIEL,13,59.656,4.589,6.132,200033090,77,11
2023,774300000,Saint-Pathus (commune non irisée),11,,RUE,DE LAGNY,77430,Saint-Pathus,RESIDENTIEL,14,27.116,1.937,6.132,200033090,77,11
2023,774300000,Saint-Pathus (commune non irisée),9007,,FERME,DE NOEFORT,77430,Saint-Pathus,RESIDENTIEL,18,105.391,5.855,6.132,200033090,77,11
2023,774300000,Saint-Pathus (commune non irisée),23,,RUE,DE NOEFORT,77430,Saint-Pathus,RESIDENTIEL,31,48.306,1.558,6.132,200033090,77,11
2023,774300000,Saint-Pathus (commune non irisée),21,,RUE,DES SOURCES,77430,Saint-Pathus,RESIDENTIEL,10,41.82,4.182,6.132,200033090,77,11
2023,774300000,Saint-Pathus (commune non irisée),2,,RUE,JULES RENARD,77430,Saint-Pathus,RESIDENTIEL,19,19.67,1.035,6.132,200033090,77,11
2023,402790101,Mairie-Albine,110,,RUE,CAMILLE CLAUDEL,40279,Saint-Paul-lès-Dax,RESIDENTIEL,37,103.937,2.809,3.964,244000675,40,75
2023,402790103,Lac-La Pince,448,,ALLEE,DE CHRISTUS,40279,Saint-Paul-lès-Dax,RESIDENTIEL,49,110.897,2.263,3.964,244000675,40,75
2023,402790101,Mairie-Albine,21,B,RUE,DE LAILLETAS,40279,Saint-Paul-lès-Dax,RESIDENTIEL,18,53.397,2.966,3.964,244000675,40,75
2023,402790105,Bourg Est,1,B,BOULEVARD,DE LATTRE DE TASSIGNY,40279,Saint-Paul-lès-Dax,RESIDENTIEL,14,43.782,3.127,3.964,244000675,40,75
2023,402790101,Mairie-Albine,175,,RUE,DES FAUVETTES,40279,Saint-Paul-lès-Dax,RESIDENTIEL,12,40.875,3.406,3.964,244000675,40,75
2023,402790101,Mairie-Albine,181,,RUE,DES MESANGES,40279,Saint-Paul-lès-Dax,RESIDENTIEL,27,123.086,4.559,3.964,244000675,40,75
2023,402790105,Bourg Est,3,,RUE,DES MIMOSAS,40279,Saint-Paul-lès-Dax,RESIDENTIEL,20,62.414,3.121,3.964,244000675,40,75
2023,402790102,Bourg Sud,1,B,IMPASSE,DES ROSIERS,40279,Saint-Paul-lès-Dax,RESIDENTIEL,21,64.777,3.085,3.964,244000675,40,75
2023,402790102,Bourg Sud,16,,AVENUE,NAPOLEON 1ER PROLONGEE,40279,Saint-Paul-lès-Dax,RESIDENTIEL,19,31.92,1.68,3.964,244000675,40,75
2023,402790101,Mairie-Albine,9,B,RUE,PASTEUR,40279,Saint-Paul-lès-Dax,RESIDENTIEL,29,57.576,1.985,3.964,244000675,40,75
2023,402790104,Écarts Nord,81,,VOIE,PRIVEE DES FAONS,40279,Saint-Paul-lès-Dax,RESIDENTIEL,10,36.755,3.676,3.964,244000675,40,75
2023,402790104,Écarts Nord,28,,RUE,VOLTAIRE,40279,Saint-Paul-lès-Dax,RESIDENTIEL,11,39.605,3.6,3.964,244000675,40,75
2023,263240102,Est,5,,AVENUE,CHARLES CHAUSY,26324,Saint-Paul-Trois-Châteaux,RESIDENTIEL,16,69.601,4.35,6.23,200042901,26,84
2023,263240103,Ouest,29,,AVENUE,DU GENERAL DE GAULLE,26324,Saint-Paul-Trois-Châteaux,RESIDENTIEL,18,83.332,4.63,6.23,200042901,26,84
2023,732700000,Saint-Pierre-d'Albigny (commune non irisée),310,,ALLEE,DES MONTS,73270,Saint-Pierre-d'Albigny,RESIDENTIEL,15,27.492,1.833,4.605,200041010,73,84
2023,644960000,Saint-Pierre-d'Irube (commune non irisée),6,,PLACE,BERRI,64496,Saint-Pierre-d'Irube,RESIDENTIEL,10,15.909,1.591,3.899,200067106,64,75
2023,644960000,Saint-Pierre-d'Irube (commune non irisée),6,,ALLEE,SALVAT HARDOY,64496,Saint-Pierre-d'Irube,RESIDENTIEL,20,83.799,4.19,3.899,200067106,64,75
2023,173850101,Bourg Saint-Pierre,25,,ROUTE,D ARCEAU,17385,Saint-Pierre-d'Oléron,RESIDENTIEL,53,226.505,4.274,4.103,241700624,17,75
2023,173850102,Côte Ouest,7,,RUE,DES COUTURES,17385,Saint-Pierre-d'Oléron,RESIDENTIEL,11,53.26,4.842,4.103,241700624,17,75
2023,173850103,Les Écarts,14,,RUE,DU CHATEAU,17385,Saint-Pierre-d'Oléron,RESIDENTIEL,10,32.688,3.269,4.103,241700624,17,75
2023,692890000,Saint-Pierre-de-Chandieu (commune non irisée),9,B,RUE,DE FRINDEAU,69289,Saint-Pierre-de-Chandieu,RESIDENTIEL,10,16.327,1.633,6.169,246900575,69,84
2023,692890000,Saint-Pierre-de-Chandieu (commune non irisée),92,,ROUTE,DE GIVORS,69289,Saint-Pierre-de-Chandieu,RESIDENTIEL,13,31.38,2.414,6.169,246900575,69,84
2023,372330107,Centre,45,B,AVENUE,DE LA REPUBLIQUE,37233,Saint-Pierre-des-Corps,RESIDENTIEL,11,49.352,4.487,2.75,243700754,37,24
2023,372330102,Bords de Loire Grand Mail,10,,ALLEE,DU GRAND MAIL,37233,Saint-Pierre-des-Corps,RESIDENTIEL,56,77.374,1.382,2.75,243700754,37,24
2023,372330107,Centre,20,,RUE,FABIENNE LANDY,37233,Saint-Pierre-des-Corps,RESIDENTIEL,10,15.344,1.534,2.75,243700754,37,24
2023,372330101,Ouest,29,,RUE,HOCHE,37233,Saint-Pierre-des-Corps,RESIDENTIEL,27,49.784,1.844,2.75,243700754,37,24
2023,372330103,Allées,7,,RUE,JACQUES VIGIER,37233,Saint-Pierre-des-Corps,RESIDENTIEL,20,37.225,1.861,2.75,243700754,37,24
2023,372330103,Allées,3,,RUE,JACQUES VIGIER,37233,Saint-Pierre-des-Corps,RESIDENTIEL,10,15.206,1.521,2.75,243700754,37,24
2023,372330102,Bords de Loire Grand Mail,33,,BOULEVARD,JEAN JAURES,37233,Saint-Pierre-des-Corps,RESIDENTIEL,20,23.234,1.162,2.75,243700754,37,24
2023,372330104,Aubrière Jean Jaurès,29,,BOULEVARD,JEAN JAURES,37233,Saint-Pierre-des-Corps,RESIDENTIEL,86,128.16,1.49,2.75,243700754,37,24
2023,372330106,Est,43,,AVENUE,LENINE,37233,Saint-Pierre-des-Corps,RESIDENTIEL,10,33.963,3.396,2.75,243700754,37,24
2023,372330107,Centre,199,,AVENUE,STALINGRAD,37233,Saint-Pierre-des-Corps,RESIDENTIEL,10,11.172,1.117,2.75,243700754,37,24
2023,402810101,Ouest-Centre Ville,189,,AVENUE,CAMILLE CLAUDEL,40281,Saint-Pierre-du-Mont,RESIDENTIEL,59,198.425,3.363,4.354,244000808,40,75
2023,402810102,Lamoustey,18,,RUE,DE L ILE DE FRANCE,40281,Saint-Pierre-du-Mont,RESIDENTIEL,36,47.776,1.327,4.354,244000808,40,75
2023,402810101,Ouest-Centre Ville,53,,RUE,MARIE CURIE,40281,Saint-Pierre-du-Mont,RESIDENTIEL,11,48.385,4.399,4.354,244000808,40,75
2023,402810101,Ouest-Centre Ville,245,,RUE,PENARDIERE,40281,Saint-Pierre-du-Mont,RESIDENTIEL,19,26.17,1.377,4.354,244000808,40,75
2023,915730101,Iris 1,3,,RUE,ANTONIO VIVALDI,91573,Saint-Pierre-du-Perray,RESIDENTIEL,42,64.777,1.542,3.777,200059228,91,11
2023,915730106,Iris 6,5,,RUE,DES CYGNES,91573,Saint-Pierre-du-Perray,RESIDENTIEL,21,37.313,1.777,3.777,200059228,91,11
2023,915730106,Iris 6,2,,RUE,DES CYGNES,91573,Saint-Pierre-du-Perray,RESIDENTIEL,28,46.066,1.645,3.777,200059228,91,11
2023,915730106,Iris 6,19,,RUE,DES PETITS PRES,91573,Saint-Pierre-du-Perray,RESIDENTIEL,25,28.309,1.132,3.777,200059228,91,11
2023,915730103,Iris 3,5,,RUE,DU BARON LACAZE,91573,Saint-Pierre-du-Perray,RESIDENTIEL,15,19.895,1.326,3.777,200059228,91,11
2023,915730103,Iris 3,2,,RUE,DU BARON LACAZE,91573,Saint-Pierre-du-Perray,RESIDENTIEL,19,22.066,1.161,3.777,200059228,91,11
2023,915730102,Iris 2,14,,RUE,DU COMMERCE,91573,Saint-Pierre-du-Perray,RESIDENTIEL,18,45.179,2.51,3.777,200059228,91,11
2023,915730101,Iris 1,7,,AVENUE,LOUIS LACHENAL,91573,Saint-Pierre-du-Perray,RESIDENTIEL,39,80.909,2.075,3.777,200059228,91,11
2023,742500102,Centre Est,65,,RUE,DE LA POSTE,74250,Saint-Pierre-en-Faucigny,RESIDENTIEL,19,27.435,1.444,4.259,247400724,74,84
