date_heure,consommation_brute_gaz_totale,consommation_brute_electricite_rte,consommation_brute_totale
2023-01-01T05:00:00+00:00,44319.0,38525,82844.0
2023-01-01T06:00:00+00:00,44024.0,38756,82780.0
2023-01-01T07:30:00+00:00,,39347,
2023-01-01T08:30:00+00:00,,40847,
2023-01-01T14:00:00+00:00,39921.0,42782,82703.0
2023-01-01T15:00:00+00:00,41071.0,42098,83169.0
2023-01-01T18:30:00+00:00,,47792,
2023-01-01T19:00:00+00:00,41721.0,46968,88689.0
2023-01-01T23:00:00+00:00,45806.0,44275,90081.0
2023-01-02T00:00:00+00:00,46050.0,42342,88392.0
2023-01-02T00:30:00+00:00,,42217,
2023-01-02T01:30:00+00:00,,40383,
2023-01-02T03:30:00+00:00,,38841,
2023-01-02T04:30:00+00:00,,41432,
2023-01-02T06:00:00+00:00,55259.0,47347,102606.0
2023-01-02T07:00:00+00:00,55112.0,50073,105185.0
2023-01-02T08:00:00+00:00,55227.0,51829,107056.0
2023-01-02T10:00:00+00:00,55113.0,54369,109482.0
2023-01-02T19:30:00+00:00,,54197,
2023-01-02T20:00:00+00:00,53981.0,52816,106797.0
2023-01-02T22:30:00+00:00,,52311,
2023-01-03T00:00:00+00:00,46905.0,49164,96069.0
2023-01-03T02:30:00+00:00,,45837,
2023-01-03T05:30:00+00:00,,55485,
2023-01-03T06:30:00+00:00,,60174,
2023-01-03T07:00:00+00:00,77364.0,60990,138354.0
2023-01-03T07:30:00+00:00,,61307,
2023-01-03T09:30:00+00:00,,61076,
2023-01-03T13:00:00+00:00,63818.0,58171,121989.0
2023-01-03T16:00:00+00:00,68732.0,58476,127208.0
2023-01-03T18:30:00+00:00,,61485,
2023-01-03T20:30:00+00:00,,54811,
2023-01-03T22:00:00+00:00,48780.0,55694,104474.0
2023-01-03T22:30:00+00:00,,55255,
2023-01-04T02:00:00+00:00,44887.0,48985,93872.0
2023-01-04T09:00:00+00:00,65121.0,61855,126976.0
2023-01-04T10:00:00+00:00,63240.0,61882,125122.0
2023-01-04T10:30:00+00:00,,62290,
2023-01-04T15:30:00+00:00,,57054,
2023-01-04T17:00:00+00:00,59834.0,62187,122021.0
2023-01-04T19:00:00+00:00,56402.0,59390,115792.0
2023-01-05T00:00:00+00:00,42899.0,50811,93710.0
2023-01-05T09:30:00+00:00,,59699,
2023-01-05T12:30:00+00:00,,56893,
2023-01-05T13:30:00+00:00,,56785,
2023-01-05T16:00:00+00:00,63228.0,57250,120478.0
2023-01-05T17:00:00+00:00,64719.0,60815,125534.0
2023-01-05T19:00:00+00:00,61201.0,58076,119277.0
2023-01-06T03:30:00+00:00,,46780,
2023-01-06T04:00:00+00:00,48992.0,48211,97203.0
2023-01-06T08:30:00+00:00,,60553,
2023-01-06T13:00:00+00:00,54579.0,57199,111778.0
2023-01-06T13:30:00+00:00,,56943,
2023-01-06T17:00:00+00:00,60740.0,59709,120449.0
2023-01-06T18:00:00+00:00,60108.0,60026,120134.0
2023-01-06T20:30:00+00:00,,52821,
2023-01-06T23:00:00+00:00,41357.0,51966,93323.0
2023-01-07T01:00:00+00:00,41734.0,48991,90725.0
2023-01-07T03:00:00+00:00,43848.0,44571,88419.0
2023-01-07T03:30:00+00:00,,44225,
2023-01-07T04:30:00+00:00,,45336,
2023-01-07T07:30:00+00:00,,51599,
2023-01-07T08:30:00+00:00,,53306,
2023-01-07T11:00:00+00:00,52607.0,54789,107396.0
2023-01-07T12:00:00+00:00,50318.0,52696,103014.0
2023-01-07T13:30:00+00:00,,51666,
2023-01-07T14:30:00+00:00,,50531,
2023-01-07T20:00:00+00:00,48964.0,51202,100166.0
2023-01-07T21:30:00+00:00,,52635,
2023-01-07T22:30:00+00:00,,51762,
2023-01-08T01:30:00+00:00,,45864,
2023-01-08T03:00:00+00:00,52397.0,42990,95387.0
2023-01-08T04:30:00+00:00,,43051,
2023-01-08T06:30:00+00:00,,46048,
2023-01-08T12:30:00+00:00,,50865,
2023-01-08T13:30:00+00:00,,50532,
2023-01-08T17:00:00+00:00,56789.0,54971,111760.0
2023-01-08T21:00:00+00:00,49346.0,51864,101210.0
2023-01-08T22:00:00+00:00,46321.0,52632,98953.0
2023-01-09T01:30:00+00:00,,48201,
2023-01-09T09:30:00+00:00,,64295,
2023-01-09T10:00:00+00:00,73431.0,64453,137884.0
2023-01-09T11:30:00+00:00,,62474,
2023-01-09T12:30:00+00:00,,61707,
2023-01-09T14:00:00+00:00,69454.0,61447,130901.0
2023-01-09T18:30:00+00:00,,66413,
2023-01-09T19:00:00+00:00,72028.0,64323,136351.0
2023-01-09T19:30:00+00:00,,62110,
2023-01-09T22:00:00+00:00,54891.0,59780,114671.0
2023-01-09T23:30:00+00:00,,55793,
2023-01-10T00:00:00+00:00,47208.0,56135,103343.0
2023-01-10T01:00:00+00:00,47344.0,55943,103287.0
2023-01-10T02:00:00+00:00,48224.0,53522,101746.0
2023-01-10T03:00:00+00:00,51014.0,52453,103467.0
2023-01-10T03:30:00+00:00,,52650,
2023-01-10T06:00:00+00:00,88848.0,65703,154551.0
2023-01-10T07:00:00+00:00,85867.0,67623,153490.0
2023-01-10T09:00:00+00:00,79876.0,66332,146208.0
2023-01-10T11:00:00+00:00,73675.0,65482,139157.0
2023-01-10T12:00:00+00:00,69447.0,63373,132820.0
2023-01-10T17:30:00+00:00,,67183,
2023-01-10T19:30:00+00:00,,60676,
2023-01-10T21:30:00+00:00,,58451,
2023-01-11T00:00:00+00:00,48647.0,53280,101927.0
2023-01-11T02:30:00+00:00,,49658,
2023-01-11T05:30:00+00:00,,58838,
2023-01-11T06:00:00+00:00,73966.0,61399,135365.0
2023-01-11T12:00:00+00:00,59314.0,60734,120048.0
2023-01-11T12:30:00+00:00,,60482,
2023-01-11T15:30:00+00:00,,58834,
2023-01-11T17:30:00+00:00,,66159,
2023-01-11T18:00:00+00:00,64259.0,65869,130128.0
2023-01-11T19:30:00+00:00,,60498,
2023-01-11T21:00:00+00:00,54017.0,57498,111515.0
2023-01-11T21:30:00+00:00,,58917,
2023-01-12T01:30:00+00:00,,52328,
2023-01-12T05:00:00+00:00,74987.0,57142,132129.0
2023-01-12T10:00:00+00:00,64990.0,63391,128381.0
2023-01-12T11:00:00+00:00,62702.0,62462,125164.0
2023-01-12T16:00:00+00:00,62457.0,60251,122708.0
2023-01-12T21:00:00+00:00,51570.0,56436,108006.0
2023-01-12T22:00:00+00:00,47414.0,57081,104495.0
2023-01-12T23:00:00+00:00,48208.0,55133,103341.0
2023-01-13T01:30:00+00:00,,51525,
2023-01-13T06:00:00+00:00,75181.0,61852,137033.0
2023-01-13T12:00:00+00:00,57986.0,59178,117164.0
2023-01-13T13:00:00+00:00,56058.0,58750,114808.0
2023-01-13T14:00:00+00:00,57080.0,57875,114955.0
2023-01-13T18:00:00+00:00,63278.0,63474,126752.0
2023-01-13T18:30:00+00:00,,62146,
2023-01-13T23:30:00+00:00,,52670,
2023-01-14T02:30:00+00:00,,48054,
2023-01-14T04:00:00+00:00,53642.0,48070,101712.0
2023-01-14T06:30:00+00:00,,52564,
2023-01-14T07:00:00+00:00,64636.0,53628,118264.0
2023-01-14T18:00:00+00:00,54140.0,57641,111781.0
2023-01-14T21:00:00+00:00,48018.0,52560,100578.0
2023-01-15T01:30:00+00:00,,48499,
2023-01-15T03:00:00+00:00,60814.0,45919,106733.0
2023-01-15T04:00:00+00:00,69238.0,46021,115259.0
2023-01-15T04:30:00+00:00,,46277,
2023-01-15T08:00:00+00:00,66081.0,53394,119475.0
2023-01-15T08:30:00+00:00,,54798,
2023-01-15T09:00:00+00:00,65099.0,55919,121018.0
2023-01-15T11:30:00+00:00,,56432,
2023-01-15T15:00:00+00:00,58504.0,51868,110372.0
2023-01-15T18:00:00+00:00,65404.0,61712,127116.0
2023-01-15T20:00:00+00:00,61819.0,57266,119085.0
2023-01-15T21:30:00+00:00,,57913,
2023-01-15T23:00:00+00:00,67618.0,55820,123438.0
2023-01-16T00:30:00+00:00,,54175,
2023-01-16T03:30:00+00:00,,51815,
2023-01-16T05:30:00+00:00,,62127,
2023-01-16T08:00:00+00:00,86455.0,68605,155060.0
2023-01-16T09:00:00+00:00,84968.0,69244,154212.0
2023-01-16T11:30:00+00:00,,67378,
2023-01-16T13:30:00+00:00,,66551,
2023-01-16T16:00:00+00:00,84064.0,66783,150847.0
2023-01-16T22:00:00+00:00,66789.0,63713,130502.0
2023-01-17T00:30:00+00:00,,59780,
2023-01-17T02:00:00+00:00,77800.0,57644,135444.0
2023-01-17T05:00:00+00:00,99777.0,63990,163767.0
2023-01-17T13:00:00+00:00,87896.0,70087,157983.0
2023-01-17T16:30:00+00:00,,72263,
2023-01-17T20:00:00+00:00,85036.0,67531,152567.0
2023-01-17T23:00:00+00:00,73562.0,64739,138301.0
2023-01-17T23:30:00+00:00,,62445,
2023-01-18T01:00:00+00:00,75696.0,62713,138409.0
2023-01-18T05:00:00+00:00,104664.0,67694,172358.0
2023-01-18T06:00:00+00:00,108082.0,73667,181749.0
2023-01-18T16:00:00+00:00,95292.0,71818,167110.0
2023-01-18T16:30:00+00:00,,74677,
2023-01-18T22:30:00+00:00,,68976,
2023-01-18T23:30:00+00:00,,65558,
2023-01-19T00:00:00+00:00,77501.0,65816,143317.0
2023-01-19T01:30:00+00:00,,64245,
2023-01-19T02:00:00+00:00,81563.0,63447,145010.0
2023-01-19T04:30:00+00:00,,65098,
2023-01-19T05:00:00+00:00,103413.0,68496,171909.0
2023-01-19T12:00:00+00:00,91739.0,73074,164813.0
2023-01-19T13:30:00+00:00,,72689,
2023-01-19T15:00:00+00:00,93200.0,71075,164275.0
2023-01-19T20:00:00+00:00,87384.0,70093,157477.0
2023-01-19T20:30:00+00:00,,68657,
2023-01-20T00:00:00+00:00,77659.0,66877,144536.0
2023-01-20T03:00:00+00:00,80626.0,63696,144322.0
2023-01-20T05:00:00+00:00,109719.0,71119,180838.0
2023-01-20T11:30:00+00:00,,74222,
2023-01-20T13:30:00+00:00,,70627,
2023-01-20T20:00:00+00:00,90076.0,70686,160762.0
2023-01-20T22:00:00+00:00,78602.0,70267,148869.0
2023-01-21T00:30:00+00:00,,66612,
2023-01-21T09:00:00+00:00,98485.0,71819,170304.0
2023-01-21T11:30:00+00:00,,69417,
2023-01-21T19:30:00+00:00,,70260,
2023-01-21T21:30:00+00:00,,70918,
2023-01-22T00:00:00+00:00,82259.0,67499,149758.0
2023-01-22T03:30:00+00:00,,62636,
2023-01-22T05:00:00+00:00,98174.0,63989,162163.0
2023-01-22T17:00:00+00:00,99565.0,74710,174275.0
2023-01-22T22:30:00+00:00,,70539,
2023-01-23T02:30:00+00:00,,64761,
2023-01-23T04:00:00+00:00,98221.0,67117,165338.0
2023-01-23T10:30:00+00:00,,82156,
2023-01-23T12:30:00+00:00,,78119,
2023-01-23T14:00:00+00:00,105449.0,77951,183400.0
2023-01-23T20:00:00+00:00,97371.0,73740,171111.0
2023-01-23T22:30:00+00:00,,71678,
2023-01-24T01:30:00+00:00,,67170,
2023-01-24T03:30:00+00:00,,65070,
2023-01-24T04:00:00+00:00,96969.0,67136,164105.0
2023-01-24T04:30:00+00:00,,68726,
2023-01-24T10:00:00+00:00,109619.0,80552,190171.0
2023-01-24T15:30:00+00:00,,74735,
2023-01-24T17:00:00+00:00,104302.0,80611,184913.0
2023-01-24T18:30:00+00:00,,79863,
2023-01-24T23:00:00+00:00,82058.0,69658,151716.0
2023-01-25T01:30:00+00:00,,66674,
2023-01-25T05:00:00+00:00,111889.0,71708,183597.0
2023-01-25T07:00:00+00:00,113405.0,79799,193204.0
2023-01-25T10:30:00+00:00,,82013,
2023-01-25T11:30:00+00:00,,80151,
2023-01-25T12:00:00+00:00,106795.0,79170,185965.0
2023-01-25T15:00:00+00:00,104789.0,76838,181627.0
2023-01-25T20:00:00+00:00,96354.0,74283,170637.0
2023-01-25T20:30:00+00:00,,72588,
2023-01-25T23:00:00+00:00,77784.0,70653,148437.0
2023-01-26T01:30:00+00:00,,67459,
2023-01-26T02:00:00+00:00,78831.0,66461,145292.0
2023-01-26T08:30:00+00:00,,80313,
2023-01-26T20:00:00+00:00,92282.0,72444,164726.0
2023-01-26T21:00:00+00:00,85812.0,70709,156521.0
2023-01-27T00:30:00+00:00,,66834,
2023-01-27T01:00:00+00:00,78572.0,66782,145354.0
2023-01-27T02:00:00+00:00,79309.0,64283,143592.0
2023-01-27T05:00:00+00:00,107787.0,70123,177910.0
2023-01-27T08:30:00+00:00,,77996,
2023-01-27T11:30:00+00:00,,75407,
2023-01-27T12:30:00+00:00,,74115,
2023-01-27T15:00:00+00:00,97999.0,71920,169919.0
2023-01-27T16:00:00+00:00,99085.0,72761,171846.0
2023-01-27T18:00:00+00:00,97205.0,77044,174249.0
2023-01-27T21:30:00+00:00,,70546,
2023-01-28T00:30:00+00:00,,65681,
2023-01-28T01:00:00+00:00,80291.0,65284,145575.0
2023-01-28T01:30:00+00:00,,63603,
2023-01-28T08:30:00+00:00,,70489,
2023-01-28T09:00:00+00:00,99036.0,71040,170076.0
2023-01-28T09:30:00+00:00,,71074,
2023-01-28T16:30:00+00:00,,69629,
2023-01-28T17:30:00+00:00,,73302,
2023-01-28T18:00:00+00:00,94539.0,73240,167779.0
2023-01-28T19:30:00+00:00,,69080,
2023-01-28T21:00:00+00:00,84105.0,67394,151499.0
2023-01-28T22:00:00+00:00,78956.0,68260,147216.0
2023-01-28T23:00:00+00:00,74365.0,67283,141648.0
2023-01-29T00:30:00+00:00,,65519,
2023-01-29T01:30:00+00:00,,63697,
2023-01-29T05:30:00+00:00,,62328,
2023-01-29T07:00:00+00:00,101104.0,64817,165921.0
2023-01-29T11:00:00+00:00,89671.0,69516,159187.0
2023-01-29T12:30:00+00:00,,64378,
2023-01-29T13:00:00+00:00,82531.0,63854,146385.0
2023-01-29T18:30:00+00:00,,71652,
2023-01-29T20:30:00+00:00,,66732,
2023-01-29T21:30:00+00:00,,68217,
2023-01-29T22:00:00+00:00,77281.0,67349,144630.0
2023-01-30T00:00:00+00:00,71535.0,64549,136084.0
2023-01-30T02:00:00+00:00,75539.0,62578,138117.0
2023-01-30T02:30:00+00:00,,61677,
2023-01-30T05:00:00+00:00,105010.0,69369,174379.0
2023-01-30T05:30:00+00:00,,72321,
2023-01-30T11:30:00+00:00,,73519,
2023-01-30T14:30:00+00:00,,69188,
2023-01-30T19:30:00+00:00,,70947,
2023-01-31T07:30:00+00:00,,74715,
2023-01-31T08:00:00+00:00,97138.0,74726,171864.0
2023-01-31T08:30:00+00:00,,74285,
2023-01-31T09:00:00+00:00,92544.0,73585,166129.0
2023-01-31T13:00:00+00:00,75907.0,66919,142826.0
2023-01-31T20:00:00+00:00,73639.0,64601,138240.0
2023-02-01T01:30:00+00:00,,59261,
2023-02-01T03:00:00+00:00,68091.0,57329,125420.0
2023-02-01T06:00:00+00:00,98922.0,69810,168732.0
2023-02-01T09:30:00+00:00,,71193,
2023-02-01T10:00:00+00:00,85154.0,71162,156316.0
2023-02-01T12:00:00+00:00,78185.0,67328,145513.0
