date_heure,code_insee_region,region,consommation_brute_gaz_totale,consommation_brute_electricite_rte,consommation_brute_totale,flag_ignore
2023-02-14T02:30:00+00:00,27,Bourgogne-Franche-Comté,,2804,,non
2023-02-14T03:00:00+00:00,44,Grand Est,6049.0,5698,11747.0,non
2023-02-14T03:00:00+00:00,84,Auvergne-Rhône-Alpes,2308.0,8355,10663.0,non
2023-02-14T03:30:00+00:00,11,Île-de-France,,8154,,non
2023-02-14T03:30:00+00:00,76,Occitanie,,5031,,non
2023-02-14T04:00:00+00:00,52,Pays de la Loire,1217.0,3817,5034.0,non
2023-02-14T04:00:00+00:00,75,Nouvelle-Aquitaine,3267.0,5995,9262.0,non
2023-02-14T04:00:00+00:00,76,Occitanie,2826.0,4979,7805.0,non
2023-02-14T04:30:00+00:00,52,Pays de la Loire,,4121,,non
2023-02-14T05:00:00+00:00,11,Île-de-France,2551.0,9431,11982.0,non
2023-02-14T05:00:00+00:00,32,Hauts-de-France,4644.0,6568,11212.0,non
2023-02-14T05:30:00+00:00,76,Occitanie,,6134,,non
2023-02-14T06:00:00+00:00,28,Normandie,2975.0,4221,7196.0,non
2023-02-14T06:00:00+00:00,52,Pays de la Loire,1237.0,4581,5818.0,non
2023-02-14T06:00:00+00:00,75,Nouvelle-Aquitaine,4289.0,7192,11481.0,non
2023-02-14T06:30:00+00:00,11,Île-de-France,,10887,,non
2023-02-14T06:30:00+00:00,75,Nouvelle-Aquitaine,,7242,,non
2023-02-14T07:30:00+00:00,53,Bretagne,,3761,,non
2023-02-14T08:00:00+00:00,93,Provence-Alpes-Côte d'Azur,5124.0,6024,11148.0,non
2023-02-14T08:30:00+00:00,27,Bourgogne-Franche-Comté,,3255,,non
2023-02-14T08:30:00+00:00,53,Bretagne,,3567,,non
2023-02-14T08:30:00+00:00,75,Nouvelle-Aquitaine,,7119,,non
2023-02-14T08:30:00+00:00,84,Auvergne-Rhône-Alpes,,10186,,non
2023-02-14T09:00:00+00:00,24,Centre-Val de Loire,293.0,2904,3197.0,non
2023-02-14T09:00:00+00:00,27,Bourgogne-Franche-Comté,675.0,3275,3950.0,non
2023-02-14T09:00:00+00:00,28,Normandie,2961.0,4102,7063.0,non
2023-02-14T09:00:00+00:00,44,Grand Est,6258.0,6698,12956.0,non
2023-02-14T09:00:00+00:00,52,Pays de la Loire,1197.0,4145,5342.0,non
2023-02-14T09:00:00+00:00,53,Bretagne,1053.0,3478,4531.0,non
2023-02-14T10:30:00+00:00,11,Île-de-France,,10555,,non
2023-02-14T10:30:00+00:00,24,Centre-Val de Loire,,2701,,non
2023-02-14T10:30:00+00:00,28,Normandie,,3604,,non
2023-02-14T10:30:00+00:00,32,Hauts-de-France,,7103,,non
2023-02-14T10:30:00+00:00,76,Occitanie,,5189,,non
2023-02-14T11:00:00+00:00,24,Centre-Val de Loire,266.0,2666,2932.0,non
2023-02-14T11:00:00+00:00,76,Occitanie,2347.0,5372,7719.0,non
2023-02-14T11:00:00+00:00,93,Provence-Alpes-Côte d'Azur,4297.0,5438,9735.0,non
2023-02-14T11:30:00+00:00,52,Pays de la Loire,,3690,,non
2023-02-14T11:30:00+00:00,93,Provence-Alpes-Côte d'Azur,,5335,,non
2023-02-14T12:00:00+00:00,11,Île-de-France,2190.0,9773,11963.0,non
2023-02-14T12:00:00+00:00,53,Bretagne,1031.0,2953,3984.0,non
2023-02-14T12:00:00+00:00,93,Provence-Alpes-Côte d'Azur,4349.0,5311,9660.0,non
2023-02-14T12:30:00+00:00,24,Centre-Val de Loire,,2444,,non
2023-02-14T12:30:00+00:00,28,Normandie,,3565,,non
2023-02-14T12:30:00+00:00,75,Nouvelle-Aquitaine,,6023,,non
2023-02-14T13:00:00+00:00,27,Bourgogne-Franche-Comté,594.0,2799,3393.0,non
2023-02-14T13:00:00+00:00,32,Hauts-de-France,4552.0,6098,10650.0,non
2023-02-14T13:30:00+00:00,11,Île-de-France,,9140,,non
2023-02-14T13:30:00+00:00,32,Hauts-de-France,,6025,,non
2023-02-14T13:30:00+00:00,52,Pays de la Loire,,3447,,non
2023-02-14T13:30:00+00:00,84,Auvergne-Rhône-Alpes,,8098,,non
2023-02-14T13:30:00+00:00,93,Provence-Alpes-Côte d'Azur,,5348,,non
2023-02-14T14:00:00+00:00,27,Bourgogne-Franche-Comté,604.0,2715,3319.0,non
2023-02-14T14:30:00+00:00,11,Île-de-France,,8874,,non
2023-02-14T15:00:00+00:00,76,Occitanie,2048.0,4324,6372.0,non
2023-02-14T15:30:00+00:00,27,Bourgogne-Franche-Comté,,2518,,non
2023-02-14T15:30:00+00:00,28,Normandie,,3285,,non
2023-02-14T16:00:00+00:00,24,Centre-Val de Loire,269.0,2293,2562.0,non
2023-02-14T16:00:00+00:00,32,Hauts-de-France,4671.0,5994,10665.0,non
2023-02-14T16:00:00+00:00,44,Grand Est,6051.0,5798,11849.0,non
2023-02-14T16:30:00+00:00,44,Grand Est,,5125,,non
2023-02-14T16:30:00+00:00,75,Nouvelle-Aquitaine,,5914,,non
2023-02-14T17:30:00+00:00,28,Normandie,,4141,,non
2023-02-14T17:30:00+00:00,32,Hauts-de-France,,6856,,non
2023-02-14T17:30:00+00:00,44,Grand Est,,5839,,non
2023-02-14T17:30:00+00:00,84,Auvergne-Rhône-Alpes,,9072,,non
2023-02-14T17:30:00+00:00,93,Provence-Alpes-Côte d'Azur,,6173,,non
2023-02-14T18:00:00+00:00,44,Grand Est,6097.0,6504,12601.0,non
2023-02-14T18:30:00+00:00,32,Hauts-de-France,,7030,,non
2023-02-14T18:30:00+00:00,53,Bretagne,,3098,,non
2023-02-14T18:30:00+00:00,76,Occitanie,,5709,,non
2023-02-14T19:00:00+00:00,93,Provence-Alpes-Côte d'Azur,4982.0,5952,10934.0,non
